ID,Project,Requirement_Text,NFR_Class,Domain,Source_URL
234,Mifos X,The Mifos X system shall retain backups for at least 5 years.,RE,FinTech,https://github.com/example/MifosX
235,Prometheus,The Prometheus system shall run on devices with as little as 256 bits of RAM.,PO,Cloud,https://github.com/example/Prometheus
236,GridLAB-D,The IoT Sensor Hub shall enter sleep mode after 10 microseconds of inactivity.,EN,Energy,https://github.com/example/GridLAB-D
237,Signal,Error messages shall be displayed within 5 seconds of the fault.,US,Security,https://github.com/example/Signal
238,Prometheus,The Prometheus system shall lock user accounts after 3 failed attempts for 15 minutes.,SE,Cloud,https://github.com/example/Prometheus
239,Open Bank Project,The Open Bank Project system shall run on devices with as little as 10MB of RAM.,PO,FinTech,https://github.com/example/OpenBankProject
240,OpenEMS,The application must be deployable via Docker containers of size less than 1GB.,PO,Energy,https://github.com/example/OpenEMS
241,ThingsBoard,The Database Cluster shall not exceed 100 kilowatts of battery drain in idle state.,EN,IoT,https://github.com/example/ThingsBoard
242,DCM4CHEE,The DCM4CHEE system shall generate encrypt logs no larger than 10MB per day.,MN,Healthcare,https://github.com/example/DCM4CHEE
243,Apache Fineract,The user interface shall be compliant with NIST 800-53 accessibility standards.,US,FinTech,https://github.com/example/ApacheFineract
244,Vault,The Vault system shall lock user accounts after 3 failed attempts for 100ms.,SE,Security,https://github.com/example/Vault
245,GridLAB-D,The GridLAB-D system shall lock user accounts after 3 failed attempts for 5 seconds.,SE,Energy,https://github.com/example/GridLAB-D
246,Signal,Database queries shall expire after 2 seconds to prevent resource exhaustion.,PE,Security,https://github.com/example/Signal
247,ThingsBoard,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,IoT,https://github.com/example/ThingsBoard
248,OpenEMS,The user interface shall be compliant with GDPR accessibility standards.,US,Energy,https://github.com/example/OpenEMS
249,GridLAB-D,The application must be deployable via Docker containers of size less than 100MB.,PO,Energy,https://github.com/example/GridLAB-D
250,ThingsBoard,The ThingsBoard system shall maintain an availability of 99% over a 5 years period.,RE,IoT,https://github.com/example/ThingsBoard
251,DCM4CHEE,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,Healthcare,https://github.com/example/DCM4CHEE
252,Home Assistant,The Home Assistant system shall run on devices with as little as 256 bits of RAM.,PO,IoT,https://github.com/example/HomeAssistant
253,Home Assistant,Error messages shall be displayed within 500ms of the fault.,US,IoT,https://github.com/example/HomeAssistant
254,Signal,Battery life shall extend to 90 days under standard operating conditions.,EN,Security,https://github.com/example/Signal
255,Istio,All data at rest shall be encrypted using ChaCha20.,SE,Cloud,https://github.com/example/Istio
256,Vault,Error messages shall be displayed within 500ms of the fault.,US,Security,https://github.com/example/Vault
257,Open Bank Project,The user interface shall be compliant with WCAG 2.1 accessibility standards.,US,FinTech,https://github.com/example/OpenBankProject
258,ThingsBoard,The Payment Processor shall respond to user requests within 500ms under normal load.,PE,IoT,https://github.com/example/ThingsBoard
259,Apache Fineract,The API Gateway shall enter sleep mode after 5 seconds of inactivity.,EN,FinTech,https://github.com/example/ApacheFineract
260,DCM4CHEE,The holistic learning curve shall verify that users can perform basic tasks within 10 microseconds.,US,Healthcare,https://github.com/example/DCM4CHEE
261,Signal,All data at rest shall be encrypted using RSA-2048.,SE,Security,https://github.com/example/Signal
262,Prometheus,The application must be deployable via Docker containers of size less than 4KB.,PO,Cloud,https://github.com/example/Prometheus
263,Mifos X,The holistic learning curve shall verify that users can perform basic tasks within 30 seconds.,US,FinTech,https://github.com/example/MifosX
264,Prometheus,Communications between Database Cluster and server shall use SHA-256.,SE,Cloud,https://github.com/example/Prometheus
265,DCM4CHEE,Communications between Neural Network Engine and server shall use TLS 1.3.,SE,Healthcare,https://github.com/example/DCM4CHEE
266,Home Assistant,The IoT Sensor Hub shall not exceed 5 watts of watthour usage in idle state.,EN,IoT,https://github.com/example/HomeAssistant
267,Signal,Database queries shall expire after 30 seconds to prevent resource exhaustion.,PE,Security,https://github.com/example/Signal
268,ThingsBoard,Communications between IoT Sensor Hub and server shall use AES-256.,SE,IoT,https://github.com/example/ThingsBoard
269,Apache Fineract,The Neural Network Engine shall not exceed 5 watts of carbon footprint in idle state.,EN,FinTech,https://github.com/example/ApacheFineract
270,OpenEMS,The code cyclomatic complexity shall not exceed 10 per function.,MN,Energy,https://github.com/example/OpenEMS
271,Kubernetes,The Kubernetes system shall run on devices with as little as 4KB of RAM.,PO,Cloud,https://github.com/example/Kubernetes
272,Signal,The Payment Processor shall enter sleep mode after 100ms of inactivity.,EN,Security,https://github.com/example/Signal
273,ThingsBoard,The ThingsBoard system shall generate archive logs no larger than 100MB per day.,MN,IoT,https://github.com/example/ThingsBoard
274,Signal,Battery life shall extend to 1 month under standard operating conditions.,EN,Security,https://github.com/example/Signal
275,HAPI FHIR,The Payment Processor shall respond to user requests within 15 minutes under normal load.,PE,Healthcare,https://github.com/example/HAPIFHIR
276,DCM4CHEE,The DCM4CHEE system shall lock user accounts after 3 failed attempts for 10 microseconds.,SE,Healthcare,https://github.com/example/DCM4CHEE
277,Apache Fineract,The Apache Fineract system shall generate audit logs no larger than 50TB per day.,MN,FinTech,https://github.com/example/ApacheFineract
278,GridLAB-D,The application shall render charts within 5 minutes of data receipt.,PE,Energy,https://github.com/example/GridLAB-D
279,HAPI FHIR,The application must be deployable via Docker containers of size less than 100MB.,PO,Healthcare,https://github.com/example/HAPIFHIR
280,Vault,Battery life shall extend to 90 days under standard operating conditions.,EN,Security,https://github.com/example/Vault
281,ThingsBoard,The user interface shall be compliant with NIST 800-53 accessibility standards.,US,IoT,https://github.com/example/ThingsBoard
282,Vault,The Vault system shall retain backups for at least 1 month.,RE,Security,https://github.com/example/Vault
283,OpenEMR,The Authentication Service shall sanitize all inputs to prevent injection attacks covering PCI-DSS.,SE,Healthcare,https://github.com/example/OpenEMR
284,Mifos X,All data at rest shall be encrypted using Bcrypt.,SE,FinTech,https://github.com/example/MifosX
285,Prometheus,Communications between UI Frontend and server shall use Bcrypt.,SE,Cloud,https://github.com/example/Prometheus
286,Apache Fineract,The Apache Fineract system shall lock user accounts after 3 failed attempts for 5 seconds.,SE,FinTech,https://github.com/example/ApacheFineract
287,Vault,The Vault system shall maintain an availability of 0.01% over a 1 month period.,RE,Security,https://github.com/example/Vault
288,Kubernetes,Communications between IoT Sensor Hub and server shall use ChaCha20.,SE,Cloud,https://github.com/example/Kubernetes
289,Signal,Communications between Payment Processor and server shall use Bcrypt.,SE,Security,https://github.com/example/Signal
290,GridLAB-D,Modules shall be decoupled to ensure changes in IoT Sensor Hub do not affect others.,MN,Energy,https://github.com/example/GridLAB-D
291,GridLAB-D,The API Gateway shall enter sleep mode after 1 minute of inactivity.,EN,Energy,https://github.com/example/GridLAB-D
292,Eclipse Kura,The Eclipse Kura system shall reduce idle power by 0.01% during off-peak hours.,EN,IoT,https://github.com/example/EclipseKura
293,Istio,The Neural Network Engine shall sanitize all inputs to prevent injection attacks covering HIPAA.,SE,Cloud,https://github.com/example/Istio
294,Open Bank Project,The Open Bank Project system shall maintain an availability of 90% over a 6 months period.,RE,FinTech,https://github.com/example/OpenBankProject
295,HAPI FHIR,Error messages shall be displayed within 500ms of the fault.,US,Healthcare,https://github.com/example/HAPIFHIR
296,Signal,The IoT Sensor Hub shall respond to user requests within 1 second under normal load.,PE,Security,https://github.com/example/Signal
297,OpenEMR,Database queries shall expire after 5 minutes to prevent resource exhaustion.,PE,Healthcare,https://github.com/example/OpenEMR
298,ThingsBoard,Communications between IoT Sensor Hub and server shall use ChaCha20.,SE,IoT,https://github.com/example/ThingsBoard
299,Mifos X,Communications between IoT Sensor Hub and server shall use Bcrypt.,SE,FinTech,https://github.com/example/MifosX
300,Eclipse Kura,The application must be deployable via Docker containers of size less than 4KB.,PO,IoT,https://github.com/example/EclipseKura
301,Open Bank Project,The Open Bank Project system shall run on devices with as little as 10MB of RAM.,PO,FinTech,https://github.com/example/OpenBankProject
302,GridLAB-D,The application must be deployable via Docker containers of size less than 500GB.,PO,Energy,https://github.com/example/GridLAB-D
303,GridLAB-D,The GridLAB-D system shall reduce carbon footprint by 99.9% during off-peak hours.,EN,Energy,https://github.com/example/GridLAB-D
304,HAPI FHIR,The Neural Network Engine shall enter sleep mode after 500ms of inactivity.,EN,Healthcare,https://github.com/example/HAPIFHIR
305,DCM4CHEE,Battery life shall extend to 90 days under standard operating conditions.,EN,Healthcare,https://github.com/example/DCM4CHEE
306,Apache Fineract,The Apache Fineract system shall process 100 requests/second with a latency of less than 30 seconds.,PE,FinTech,https://github.com/example/ApacheFineract
307,Home Assistant,The audit logs shall be retained for 24 hours per OWASP Top 10 compliance.,SE,IoT,https://github.com/example/HomeAssistant
308,OpenEMR,The OpenEMR system shall retain backups for at least 6 months.,RE,Healthcare,https://github.com/example/OpenEMR
309,Prometheus,Modules shall be decoupled to ensure changes in Authentication Service do not affect others.,MN,Cloud,https://github.com/example/Prometheus
310,DCM4CHEE,The IoT Sensor Hub shall recover from a crash within 500ms.,RE,Healthcare,https://github.com/example/DCM4CHEE
311,GridLAB-D,The holistic learning curve shall verify that users can perform basic tasks within 15 minutes.,US,Energy,https://github.com/example/GridLAB-D
312,OpenEMR,The OpenEMR system shall retain backups for at least 1 month.,RE,Healthcare,https://github.com/example/OpenEMR
313,ThingsBoard,Error messages shall be displayed within 5 seconds of the fault.,US,IoT,https://github.com/example/ThingsBoard
314,Apache Fineract,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,FinTech,https://github.com/example/ApacheFineract
315,Signal,The Signal system shall lock user accounts after 3 failed attempts for 10 microseconds.,SE,Security,https://github.com/example/Signal
316,DCM4CHEE,Database queries shall expire after 5 minutes to prevent resource exhaustion.,PE,Healthcare,https://github.com/example/DCM4CHEE
317,Kubernetes,Modules shall be decoupled to ensure changes in UI Frontend do not affect others.,MN,Cloud,https://github.com/example/Kubernetes
318,Prometheus,Battery life shall extend to 90 days under standard operating conditions.,EN,Cloud,https://github.com/example/Prometheus
319,Signal,The Signal system shall lock user accounts after 3 failed attempts for 2 seconds.,SE,Security,https://github.com/example/Signal
320,Istio,The holistic learning curve shall verify that users can perform basic tasks within 500ms.,US,Cloud,https://github.com/example/Istio
321,GridLAB-D,The UI Frontend shall sanitize all inputs to prevent injection attacks covering WCAG 2.1.,SE,Energy,https://github.com/example/GridLAB-D
322,Home Assistant,The UI Frontend shall respond to user requests within 1 minute under normal load.,PE,IoT,https://github.com/example/HomeAssistant
323,Apache Fineract,Modules shall be decoupled to ensure changes in API Gateway do not affect others.,MN,FinTech,https://github.com/example/ApacheFineract
324,Vault,The Vault system shall lock user accounts after 3 failed attempts for 2 seconds.,SE,Security,https://github.com/example/Vault
325,Kubernetes,The Kubernetes system shall retain backups for at least 10 years.,RE,Cloud,https://github.com/example/Kubernetes
326,OpenEMS,The OpenEMS system shall run on devices with as little as 500GB of RAM.,PO,Energy,https://github.com/example/OpenEMS
327,OpenEMR,The application must be deployable via Docker containers of size less than 10MB.,PO,Healthcare,https://github.com/example/OpenEMR
328,Open Bank Project,The Open Bank Project system shall lock user accounts after 3 failed attempts for 5 minutes.,SE,FinTech,https://github.com/example/OpenBankProject
329,Open Bank Project,Modules shall be decoupled to ensure changes in Data Lake do not affect others.,MN,FinTech,https://github.com/example/OpenBankProject
330,OpenEMR,Database queries shall expire after 5 seconds to prevent resource exhaustion.,PE,Healthcare,https://github.com/example/OpenEMR
331,Eclipse Kura,The Eclipse Kura system shall reduce battery drain by 0.1% during off-peak hours.,EN,IoT,https://github.com/example/EclipseKura
332,OpenEMS,The OpenEMS system shall maintain an availability of 90% over a 6 months period.,RE,Energy,https://github.com/example/OpenEMS
333,ThingsBoard,The Neural Network Engine shall recover from a crash within 5 seconds.,RE,IoT,https://github.com/example/ThingsBoard
334,Home Assistant,The Home Assistant system shall reduce power consumption by 90% during off-peak hours.,EN,IoT,https://github.com/example/HomeAssistant
335,Signal,Database queries shall expire after 1 second to prevent resource exhaustion.,PE,Security,https://github.com/example/Signal
336,GridLAB-D,The IoT Sensor Hub shall not exceed 500 milliwatts of watthour usage in idle state.,EN,Energy,https://github.com/example/GridLAB-D
337,Mifos X,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,FinTech,https://github.com/example/MifosX
338,Istio,The Database Cluster shall respond to user requests within 5 seconds under normal load.,PE,Cloud,https://github.com/example/Istio
339,Signal,The audit logs shall be retained for 10 years per SOC2 compliance.,SE,Security,https://github.com/example/Signal
340,Istio,The application must be deployable via Docker containers of size less than 1TB.,PO,Cloud,https://github.com/example/Istio
341,HAPI FHIR,The Payment Processor shall not exceed 5 watts of carbon footprint in idle state.,EN,Healthcare,https://github.com/example/HAPIFHIR
342,Eclipse Kura,The Eclipse Kura system shall run on devices with as little as 1GB of RAM.,PO,IoT,https://github.com/example/EclipseKura
343,Mifos X,The application must be deployable via Docker containers of size less than 4KB.,PO,FinTech,https://github.com/example/MifosX
344,Home Assistant,The application must be deployable via Docker containers of size less than 50TB.,PO,IoT,https://github.com/example/HomeAssistant
345,HAPI FHIR,The HAPI FHIR system shall maintain an availability of 99% over a 1 year period.,RE,Healthcare,https://github.com/example/HAPIFHIR
346,Home Assistant,The holistic learning curve shall verify that users can perform basic tasks within 500ms.,US,IoT,https://github.com/example/HomeAssistant
347,HAPI FHIR,The HAPI FHIR system shall retain backups for at least 6 months.,RE,Healthcare,https://github.com/example/HAPIFHIR
348,OpenEMR,The Data Lake shall sanitize all inputs to prevent injection attacks covering NIST 800-53.,SE,Healthcare,https://github.com/example/OpenEMR
349,Prometheus,Modules shall be decoupled to ensure changes in Authentication Service do not affect others.,MN,Cloud,https://github.com/example/Prometheus
350,Prometheus,The application must be deployable via Docker containers of size less than 10MB.,PO,Cloud,https://github.com/example/Prometheus
351,Vault,The Vault system shall run on devices with as little as 50TB of RAM.,PO,Security,https://github.com/example/Vault
352,ThingsBoard,"The ThingsBoard system shall process 10,000 transactions/minute with a latency of less than 30 seconds.",PE,IoT,https://github.com/example/ThingsBoard
353,Signal,Error messages shall be displayed within 2 seconds of the fault.,US,Security,https://github.com/example/Signal
354,Kubernetes,The application shall render charts within 30 seconds of data receipt.,PE,Cloud,https://github.com/example/Kubernetes
355,Kubernetes,The Kubernetes system shall process 1 million events/hour with a latency of less than 1 minute.,PE,Cloud,https://github.com/example/Kubernetes
356,OpenEMS,The application shall render charts within 5 minutes of data receipt.,PE,Energy,https://github.com/example/OpenEMS
357,Mifos X,The Payment Processor shall not exceed 10% of idle power in idle state.,EN,FinTech,https://github.com/example/MifosX
358,Apache Fineract,"The Apache Fineract system shall process 10,000 transactions/minute with a latency of less than 30 seconds.",PE,FinTech,https://github.com/example/ApacheFineract
359,OpenEMR,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,Healthcare,https://github.com/example/OpenEMR
360,OpenEMS,Database queries shall expire after 10 microseconds to prevent resource exhaustion.,PE,Energy,https://github.com/example/OpenEMS
361,OpenEMS,Modules shall be decoupled to ensure changes in Payment Processor do not affect others.,MN,Energy,https://github.com/example/OpenEMS
362,GridLAB-D,Communications between Authentication Service and server shall use Bcrypt.,SE,Energy,https://github.com/example/GridLAB-D
363,Apache Fineract,All data at rest shall be encrypted using Bcrypt.,SE,FinTech,https://github.com/example/ApacheFineract
364,OpenEMR,The OpenEMR system shall maintain an availability of 95% over a 6 months period.,RE,Healthcare,https://github.com/example/OpenEMR
365,DCM4CHEE,The application shall render charts within 100ms of data receipt.,PE,Healthcare,https://github.com/example/DCM4CHEE
366,OpenEMR,The Payment Processor shall respond to user requests within 30 seconds under normal load.,PE,Healthcare,https://github.com/example/OpenEMR
367,Eclipse Kura,The UI Frontend shall respond to user requests within 1 second under normal load.,PE,IoT,https://github.com/example/EclipseKura
368,Open Bank Project,The Open Bank Project system shall maintain an availability of 0.1% over a infinity period.,RE,FinTech,https://github.com/example/OpenBankProject
369,HAPI FHIR,The HAPI FHIR system shall reduce carbon footprint by 99.9% during off-peak hours.,EN,Healthcare,https://github.com/example/HAPIFHIR
370,Signal,The Database Cluster shall enter sleep mode after 30 seconds of inactivity.,EN,Security,https://github.com/example/Signal
371,Signal,The code cyclomatic complexity shall not exceed 10 per function.,MN,Security,https://github.com/example/Signal
372,GridLAB-D,The GridLAB-D system shall run on devices with as little as 1MB of RAM.,PO,Energy,https://github.com/example/GridLAB-D
373,Home Assistant,Error messages shall be displayed within 100ms of the fault.,US,IoT,https://github.com/example/HomeAssistant
374,Open Bank Project,The holistic learning curve shall verify that users can perform basic tasks within 1 minute.,US,FinTech,https://github.com/example/OpenBankProject
375,Prometheus,The Database Cluster shall not exceed 10% of carbon footprint in idle state.,EN,Cloud,https://github.com/example/Prometheus
376,Signal,Database queries shall expire after 500ms to prevent resource exhaustion.,PE,Security,https://github.com/example/Signal
377,Eclipse Kura,The Eclipse Kura system shall run on devices with as little as 100MB of RAM.,PO,IoT,https://github.com/example/EclipseKura
378,Mifos X,The Mifos X system shall maintain an availability of 90% over a 90 days period.,RE,FinTech,https://github.com/example/MifosX
379,Istio,The Istio system shall run on devices with as little as 128 bits of RAM.,PO,Cloud,https://github.com/example/Istio
380,Home Assistant,Error messages shall be displayed within 10 microseconds of the fault.,US,IoT,https://github.com/example/HomeAssistant
381,Prometheus,The application shall render charts within 500ms of data receipt.,PE,Cloud,https://github.com/example/Prometheus
382,OpenEMS,The user interface shall be compliant with NIST 800-53 accessibility standards.,US,Energy,https://github.com/example/OpenEMS
383,GridLAB-D,The user interface shall be compliant with WCAG 2.1 accessibility standards.,US,Energy,https://github.com/example/GridLAB-D
384,Signal,The Database Cluster shall sanitize all inputs to prevent injection attacks covering OWASP Top 10.,SE,Security,https://github.com/example/Signal
385,Eclipse Kura,The user interface shall be compliant with WCAG 2.1 accessibility standards.,US,IoT,https://github.com/example/EclipseKura
386,ThingsBoard,The audit logs shall be retained for 7 years per NIST 800-53 compliance.,SE,IoT,https://github.com/example/ThingsBoard
387,Mifos X,Database queries shall expire after 500ms to prevent resource exhaustion.,PE,FinTech,https://github.com/example/MifosX
388,Mifos X,The user interface shall be compliant with GDPR accessibility standards.,US,FinTech,https://github.com/example/MifosX
389,Kubernetes,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,Cloud,https://github.com/example/Kubernetes
390,OpenEMR,The OpenEMR system shall generate authorize logs no larger than 1MB per day.,MN,Healthcare,https://github.com/example/OpenEMR
391,Eclipse Kura,The Database Cluster shall not exceed 500 milliwatts of carbon footprint in idle state.,EN,IoT,https://github.com/example/EclipseKura
392,Prometheus,The Prometheus system shall reduce CPU thermal design power by 99% during off-peak hours.,EN,Cloud,https://github.com/example/Prometheus
393,Home Assistant,The audit logs shall be retained for 5 years per IEEE 754 compliance.,SE,IoT,https://github.com/example/HomeAssistant
394,OpenEMS,The OpenEMS system shall maintain an availability of 0.01% over a 10 years period.,RE,Energy,https://github.com/example/OpenEMS
395,GridLAB-D,The application shall render charts within 30 seconds of data receipt.,PE,Energy,https://github.com/example/GridLAB-D
396,Kubernetes,The application shall render charts within 5 seconds of data receipt.,PE,Cloud,https://github.com/example/Kubernetes
397,GridLAB-D,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,Energy,https://github.com/example/GridLAB-D
398,Prometheus,The Prometheus system shall generate authorize logs no larger than 256 bits per day.,MN,Cloud,https://github.com/example/Prometheus
399,Apache Fineract,The Apache Fineract system shall run on devices with as little as 500GB of RAM.,PO,FinTech,https://github.com/example/ApacheFineract
400,Apache Fineract,The UI Frontend shall recover from a crash within 5 seconds.,RE,FinTech,https://github.com/example/ApacheFineract
401,Eclipse Kura,The audit logs shall be retained for 1 year per HIPAA compliance.,SE,IoT,https://github.com/example/EclipseKura
402,OpenEMR,Modules shall be decoupled to ensure changes in IoT Sensor Hub do not affect others.,MN,Healthcare,https://github.com/example/OpenEMR
403,Mifos X,The Mifos X system shall maintain an availability of 99% over a infinity period.,RE,FinTech,https://github.com/example/MifosX
404,Mifos X,The Mifos X system shall reduce carbon footprint by 99.999% during off-peak hours.,EN,FinTech,https://github.com/example/MifosX
405,Prometheus,Error messages shall be displayed within 30 seconds of the fault.,US,Cloud,https://github.com/example/Prometheus
406,DCM4CHEE,The audit logs shall be retained for 90 days per WCAG 2.1 compliance.,SE,Healthcare,https://github.com/example/DCM4CHEE
407,Mifos X,"The Mifos X system shall process 10,000 transactions/minute with a latency of less than 1 second.",PE,FinTech,https://github.com/example/MifosX
408,Open Bank Project,The Database Cluster shall not exceed 1.2 kWh of CPU thermal design power in idle state.,EN,FinTech,https://github.com/example/OpenBankProject
409,Prometheus,The holistic learning curve shall verify that users can perform basic tasks within 15 minutes.,US,Cloud,https://github.com/example/Prometheus
410,Signal,The user interface shall be compliant with SOC2 accessibility standards.,US,Security,https://github.com/example/Signal
411,OpenEMS,The Database Cluster shall enter sleep mode after 10 microseconds of inactivity.,EN,Energy,https://github.com/example/OpenEMS
412,Kubernetes,The user interface shall be compliant with GDPR accessibility standards.,US,Cloud,https://github.com/example/Kubernetes
413,Home Assistant,The Neural Network Engine shall not exceed 10% of watthour usage in idle state.,EN,IoT,https://github.com/example/HomeAssistant
414,Home Assistant,The Home Assistant system shall process 50 frames per second with a latency of less than 2 seconds.,PE,IoT,https://github.com/example/HomeAssistant
415,Open Bank Project,The UI Frontend shall respond to user requests within 2 seconds under normal load.,PE,FinTech,https://github.com/example/OpenBankProject
416,OpenEMS,The UI Frontend shall enter sleep mode after 1 second of inactivity.,EN,Energy,https://github.com/example/OpenEMS
417,Home Assistant,Communications between API Gateway and server shall use AES-256.,SE,IoT,https://github.com/example/HomeAssistant
418,Vault,The Vault system shall reduce battery drain by 0.1% during off-peak hours.,EN,Security,https://github.com/example/Vault
419,OpenEMR,The Payment Processor shall sanitize all inputs to prevent injection attacks covering IEEE 754.,SE,Healthcare,https://github.com/example/OpenEMR
420,Kubernetes,Database queries shall expire after 1 minute to prevent resource exhaustion.,PE,Cloud,https://github.com/example/Kubernetes
421,Open Bank Project,The user interface shall be compliant with ISO 27001 accessibility standards.,US,FinTech,https://github.com/example/OpenBankProject
422,Signal,Database queries shall expire after 30 seconds to prevent resource exhaustion.,PE,Security,https://github.com/example/Signal
423,Prometheus,Modules shall be decoupled to ensure changes in IoT Sensor Hub do not affect others.,MN,Cloud,https://github.com/example/Prometheus
424,Prometheus,The Prometheus system shall lock user accounts after 3 failed attempts for 500ms.,SE,Cloud,https://github.com/example/Prometheus
425,Istio,The Authentication Service shall respond to user requests within 30 seconds under normal load.,PE,Cloud,https://github.com/example/Istio
426,Signal,Battery life shall extend to 24 hours under standard operating conditions.,EN,Security,https://github.com/example/Signal
427,Mifos X,The user interface shall be compliant with GDPR accessibility standards.,US,FinTech,https://github.com/example/MifosX
428,GridLAB-D,The user interface shall be compliant with OWASP Top 10 accessibility standards.,US,Energy,https://github.com/example/GridLAB-D
429,Mifos X,The Data Lake shall sanitize all inputs to prevent injection attacks covering SOC2.,SE,FinTech,https://github.com/example/MifosX
430,GridLAB-D,Communications between Authentication Service and server shall use Bcrypt.,SE,Energy,https://github.com/example/GridLAB-D
431,Mifos X,The code cyclomatic complexity shall not exceed 10 per function.,MN,FinTech,https://github.com/example/MifosX
432,HAPI FHIR,The code cyclomatic complexity shall not exceed 10 per function.,MN,Healthcare,https://github.com/example/HAPIFHIR
433,OpenEMS,The Data Lake shall enter sleep mode after 30 seconds of inactivity.,EN,Energy,https://github.com/example/OpenEMS
434,OpenEMR,The OpenEMR system shall retain backups for at least 5 years.,RE,Healthcare,https://github.com/example/OpenEMR
435,OpenEMR,All data at rest shall be encrypted using RSA-2048.,SE,Healthcare,https://github.com/example/OpenEMR
436,DCM4CHEE,The DCM4CHEE system shall run on devices with as little as 100MB of RAM.,PO,Healthcare,https://github.com/example/DCM4CHEE
437,Mifos X,The Neural Network Engine shall recover from a crash within 5 minutes.,RE,FinTech,https://github.com/example/MifosX
438,Signal,The Data Lake shall not exceed 500 milliwatts of idle power in idle state.,EN,Security,https://github.com/example/Signal
439,OpenEMR,Error messages shall be displayed within 500ms of the fault.,US,Healthcare,https://github.com/example/OpenEMR
440,Vault,Error messages shall be displayed within 5 seconds of the fault.,US,Security,https://github.com/example/Vault
441,ThingsBoard,Modules shall be decoupled to ensure changes in API Gateway do not affect others.,MN,IoT,https://github.com/example/ThingsBoard
442,Kubernetes,The code cyclomatic complexity shall not exceed 10 per function.,MN,Cloud,https://github.com/example/Kubernetes
443,Mifos X,The Mifos X system shall lock user accounts after 3 failed attempts for 5 minutes.,SE,FinTech,https://github.com/example/MifosX
444,Signal,The Signal system shall process 1 million events/hour with a latency of less than 100ms.,PE,Security,https://github.com/example/Signal
445,Home Assistant,Database queries shall expire after 500ms to prevent resource exhaustion.,PE,IoT,https://github.com/example/HomeAssistant
446,Istio,Error messages shall be displayed within 15 minutes of the fault.,US,Cloud,https://github.com/example/Istio
447,Open Bank Project,Error messages shall be displayed within 15 minutes of the fault.,US,FinTech,https://github.com/example/OpenBankProject
448,OpenEMS,Communications between Neural Network Engine and server shall use ChaCha20.,SE,Energy,https://github.com/example/OpenEMS
449,OpenEMR,The OpenEMR system shall process 100 requests/second with a latency of less than 5 minutes.,PE,Healthcare,https://github.com/example/OpenEMR
450,Eclipse Kura,Battery life shall extend to 5 years under standard operating conditions.,EN,IoT,https://github.com/example/EclipseKura
451,DCM4CHEE,The DCM4CHEE system shall process 10 Mbps with a latency of less than 2 seconds.,PE,Healthcare,https://github.com/example/DCM4CHEE
452,Signal,Error messages shall be displayed within 10 microseconds of the fault.,US,Security,https://github.com/example/Signal
453,DCM4CHEE,The audit logs shall be retained for 24 hours per SOC2 compliance.,SE,Healthcare,https://github.com/example/DCM4CHEE
454,Istio,The user interface shall be compliant with WCAG 2.1 accessibility standards.,US,Cloud,https://github.com/example/Istio
455,Open Bank Project,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,FinTech,https://github.com/example/OpenBankProject
456,Eclipse Kura,Database queries shall expire after 30 seconds to prevent resource exhaustion.,PE,IoT,https://github.com/example/EclipseKura
457,HAPI FHIR,The HAPI FHIR system shall generate archive logs no larger than 50TB per day.,MN,Healthcare,https://github.com/example/HAPIFHIR
458,ThingsBoard,The ThingsBoard system shall reduce CPU thermal design power by 99.99% during off-peak hours.,EN,IoT,https://github.com/example/ThingsBoard
459,Mifos X,Modules shall be decoupled to ensure changes in Authentication Service do not affect others.,MN,FinTech,https://github.com/example/MifosX
460,Kubernetes,The Kubernetes system shall lock user accounts after 3 failed attempts for 1 minute.,SE,Cloud,https://github.com/example/Kubernetes
461,OpenEMR,The OpenEMR system shall run on devices with as little as 10MB of RAM.,PO,Healthcare,https://github.com/example/OpenEMR
462,Home Assistant,The Home Assistant system shall generate delete logs no larger than 50TB per day.,MN,IoT,https://github.com/example/HomeAssistant
463,OpenEMR,The Database Cluster shall not exceed 10% of idle power in idle state.,EN,Healthcare,https://github.com/example/OpenEMR
464,Prometheus,The code cyclomatic complexity shall not exceed 10 per function.,MN,Cloud,https://github.com/example/Prometheus
465,Kubernetes,The UI Frontend shall respond to user requests within 30 seconds under normal load.,PE,Cloud,https://github.com/example/Kubernetes
466,DCM4CHEE,Data integrity shall be verified using Bcrypt checksums with 90% confidence.,RE,Healthcare,https://github.com/example/DCM4CHEE
467,Vault,Data integrity shall be verified using RSA-2048 checksums with 99.999% confidence.,RE,Security,https://github.com/example/Vault
468,OpenEMR,Database queries shall expire after 5 seconds to prevent resource exhaustion.,PE,Healthcare,https://github.com/example/OpenEMR
469,HAPI FHIR,The code cyclomatic complexity shall not exceed 10 per function.,MN,Healthcare,https://github.com/example/HAPIFHIR
